produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
cucumber,63.67,87.25,56.13,42.64,0.369,83.92,C
tomato,100.0,83.8,82.58,18.13,0.022,82.42,A
tomato,99.81,76.52,94.12,2.02,0.0,79.96,B
carrot,99.68,81.07,72.85,20.46,0.0,69.0,A
cucumber,64.31,84.72,97.1,19.75,0.328,98.09,C
apple,75.73,87.19,76.99,23.67,0.222,75.1,A
carrot,54.85,89.84,71.57,24.85,0.452,84.68,C
cucumber,68.16,96.72,100.0,2.97,0.367,100.0,B
carrot,94.95,89.37,85.57,17.54,0.0,90.97,A
carrot,66.08,97.64,89.44,19.48,0.326,87.78,B
banana,74.39,83.22,77.26,29.54,0.238,82.0,B
apple,84.75,82.04,64.0,34.58,0.143,71.67,B
tomato,100.0,80.82,72.1,15.32,0.0,75.14,A
carrot,98.73,80.02,96.62,3.76,0.015,87.87,A
orange,78.06,100.0,38.89,49.1,0.192,69.52,C
apple,85.1,77.39,92.3,13.88,0.158,89.66,B
orange,82.09,75.26,87.17,13.5,0.179,88.58,B
orange,56.73,67.76,70.19,28.28,0.357,64.05,C
tomato,65.09,100.0,100.0,0.0,0.331,94.25,B
tomato,76.25,70.03,74.64,15.76,0.199,73.08,B
tomato,83.49,87.01,54.87,50.26,0.125,74.11,C
apple,57.35,78.21,81.85,21.83,0.419,87.68,C
banana,93.11,78.92,88.0,23.6,0.167,77.32,B
carrot,100.0,69.3,54.84,42.24,0.021,61.56,C
orange,68.24,73.91,64.6,30.12,0.432,70.74,B
cucumber,70.66,79.77,64.58,19.51,0.224,63.12,B
apple,44.25,67.66,97.2,2.53,0.622,84.48,C
orange,64.49,88.29,87.66,8.88,0.383,90.8,C
tomato,69.76,68.53,57.05,43.47,0.319,58.83,C
apple,86.56,89.42,100.0,7.66,0.084,100.0,A
carrot,70.04,94.54,77.09,20.44,0.209,84.96,B
banana,92.51,100.0,63.25,38.56,0.039,78.48,B
orange,89.62,81.54,100.0,0.0,0.154,91.26,A
banana,71.29,81.41,74.15,20.83,0.32,81.03,B
orange,86.9,100.0,99.19,0.0,0.15,96.48,A
apple,69.0,100.0,81.82,16.87,0.37,80.06,B
orange,47.79,91.55,76.97,24.54,0.456,84.14,C
tomato,90.36,84.04,68.98,28.66,0.0,77.79,B
cucumber,90.68,63.09,65.42,27.64,0.045,64.52,C
tomato,39.81,89.37,88.06,10.43,0.478,83.73,C
apple,96.49,48.66,70.44,22.48,0.075,56.18,C
banana,86.48,100.0,72.75,29.5,0.061,92.33,A
orange,66.59,75.27,75.64,14.98,0.346,80.29,B
cucumber,54.17,80.51,87.87,0.86,0.405,88.58,C
orange,82.05,86.94,100.0,2.81,0.212,100.0,A
cucumber,66.03,87.13,83.02,13.82,0.288,96.63,B
carrot,82.9,73.21,90.65,8.69,0.158,84.75,B
orange,83.29,100.0,83.46,14.28,0.142,89.68,A
cucumber,74.19,77.47,90.66,0.0,0.301,82.17,B
banana,61.1,97.94,95.93,9.83,0.313,100.0,C
orange,84.07,62.74,75.61,26.58,0.187,70.06,C
orange,100.0,96.71,30.13,67.97,0.0,54.66,C
orange,79.41,96.99,58.61,43.4,0.16,74.44,C
cucumber,69.86,87.55,46.06,65.11,0.332,65.89,C
apple,86.63,65.08,94.92,3.14,0.123,77.54,C
banana,88.42,85.07,86.43,13.52,0.141,83.66,A
tomato,100.0,63.18,96.17,12.03,0.0,90.83,C
tomato,92.57,82.34,72.52,26.22,0.094,84.44,A
carrot,80.72,71.06,89.19,16.34,0.226,83.85,B
orange,64.07,71.58,49.83,51.59,0.355,58.51,C
banana,35.0,67.03,93.93,2.08,0.668,73.53,C
banana,75.84,85.48,100.0,9.1,0.226,89.77,A
banana,73.12,88.12,74.32,23.31,0.342,80.65,B
orange,79.36,100.0,81.72,24.06,0.17,86.59,A
cucumber,84.9,93.86,76.64,15.64,0.083,78.12,A
carrot,79.64,95.5,75.79,10.65,0.194,84.83,A
banana,100.0,64.51,69.75,40.49,0.022,69.95,C
orange,82.95,91.33,63.05,42.22,0.102,78.83,B
tomato,80.68,74.6,75.64,20.63,0.14,73.35,B
tomato,82.84,68.2,87.39,5.52,0.143,74.67,C
banana,97.88,85.96,72.61,30.38,0.0,79.07,A
banana,79.99,82.81,84.77,20.6,0.1,75.38,A
tomato,81.15,73.42,96.99,1.12,0.092,78.87,B
cucumber,74.49,79.74,69.21,37.26,0.315,73.62,B
orange,45.98,89.41,84.89,16.97,0.589,81.32,C
apple,63.61,90.99,49.0,45.42,0.44,68.69,C
orange,90.6,84.84,74.32,33.86,0.082,70.68,A
cucumber,86.27,86.75,50.93,44.73,0.108,67.01,C
orange,57.36,74.46,64.34,40.29,0.467,68.67,C
orange,80.1,72.2,57.65,36.71,0.167,59.11,C
cucumber,80.43,90.76,50.61,49.54,0.185,72.39,C
tomato,56.2,66.85,76.47,29.7,0.327,73.39,C
apple,95.84,80.16,84.8,10.98,0.036,74.38,A
tomato,92.14,70.18,68.71,22.97,0.008,68.58,B
orange,67.06,86.54,83.24,18.68,0.341,92.78,B
carrot,77.18,95.59,96.23,0.0,0.213,100.0,A
apple,85.62,84.34,72.52,25.18,0.158,77.17,A
banana,79.18,73.86,84.51,32.97,0.119,80.81,B
cucumber,66.6,88.93,76.74,27.83,0.393,83.8,B
orange,42.84,100.0,82.0,24.47,0.511,86.85,C
apple,80.19,81.8,80.53,25.98,0.11,86.03,A
orange,74.94,64.35,84.05,1.47,0.283,66.74,C
carrot,78.8,80.57,94.71,4.22,0.177,85.11,A
banana,86.04,77.37,72.22,18.38,0.159,66.0,B
apple,89.28,83.54,100.0,0.0,0.102,100.0,A
orange,67.56,84.69,76.03,25.66,0.289,79.91,B
banana,54.03,83.62,83.2,15.44,0.379,88.35,C
cucumber,67.11,78.63,51.99,41.86,0.302,71.45,C
orange,68.41,89.68,67.39,34.1,0.309,82.9,B
apple,54.41,65.42,67.49,25.02,0.476,64.12,C
tomato,100.0,61.15,79.26,13.97,0.0,70.91,C
carrot,81.55,100.0,68.74,32.81,0.236,83.55,B
carrot,69.29,54.69,86.26,13.07,0.257,71.11,C
orange,70.07,89.28,54.59,51.7,0.229,68.62,C
apple,100.0,95.53,77.56,16.8,0.0,86.91,A
cucumber,76.64,81.63,72.57,18.78,0.208,81.67,A
carrot,57.47,79.73,62.88,37.78,0.406,78.69,C
orange,58.32,90.05,63.61,32.93,0.432,74.37,C
tomato,91.39,72.71,66.1,29.96,0.058,74.9,B
cucumber,100.0,100.0,59.51,40.91,0.0,75.87,C
banana,68.55,69.31,59.17,39.96,0.254,68.45,C
tomato,100.0,76.58,77.15,15.08,0.085,82.47,B
tomato,82.45,65.84,79.37,13.9,0.249,76.65,C
cucumber,41.45,70.2,87.0,20.27,0.641,70.64,C
cucumber,82.52,94.19,49.47,50.49,0.188,70.32,C
carrot,73.11,78.07,73.63,22.99,0.247,75.65,B
orange,84.64,78.35,69.45,31.11,0.058,76.28,B
cucumber,78.6,93.53,44.75,43.4,0.228,69.11,C
carrot,80.55,76.45,86.63,18.97,0.219,80.24,B
orange,89.54,96.66,86.31,8.41,0.138,95.79,A
cucumber,100.0,71.49,72.38,32.11,0.003,66.35,B
cucumber,86.68,83.06,79.51,18.93,0.207,76.78,A
apple,69.19,82.13,90.06,0.95,0.243,75.91,B
carrot,61.23,77.39,86.58,9.57,0.399,80.49,C
cucumber,88.08,87.7,64.93,34.06,0.171,78.28,B
cucumber,87.83,68.98,98.6,7.54,0.136,84.58,C
apple,74.86,90.14,70.07,31.35,0.295,77.3,B
carrot,60.08,69.23,46.75,57.63,0.49,65.11,C
cucumber,53.61,90.7,98.75,0.0,0.469,84.69,C
cucumber,62.05,84.4,51.02,52.24,0.431,63.79,C
apple,60.95,56.13,71.74,24.77,0.313,66.2,C
banana,61.86,75.35,93.14,10.48,0.375,87.34,C
banana,60.59,82.39,78.36,18.82,0.416,76.47,C
cucumber,86.28,46.99,95.04,0.0,0.106,76.15,C
carrot,73.24,64.41,58.5,47.66,0.172,67.1,C
cucumber,60.11,75.0,59.72,45.47,0.435,58.77,C
banana,71.95,71.64,96.7,0.0,0.361,84.0,B
orange,67.84,72.38,55.61,44.96,0.26,53.09,C
carrot,72.3,60.37,63.97,30.58,0.233,72.17,C
carrot,81.68,60.68,65.54,35.76,0.132,67.65,C
banana,59.96,78.56,66.62,34.36,0.368,71.24,C
apple,66.98,87.82,79.81,19.65,0.309,87.8,B
carrot,74.46,78.32,77.68,32.5,0.188,81.85,B
apple,81.26,100.0,83.82,17.21,0.159,92.06,A
carrot,74.22,72.57,71.36,29.83,0.219,67.93,B
apple,83.86,88.54,79.71,26.08,0.166,86.09,A
orange,82.56,80.9,67.51,45.78,0.152,70.87,B
cucumber,81.78,65.14,93.96,5.47,0.127,85.5,C
orange,87.39,66.83,100.0,3.95,0.126,91.36,C
banana,77.58,74.08,85.31,17.55,0.225,75.74,B
orange,79.95,81.16,54.66,36.5,0.229,54.9,C
tomato,70.83,97.7,68.1,35.85,0.272,83.47,B
tomato,89.05,76.45,91.94,2.09,0.124,88.81,B
tomato,100.0,72.84,53.93,40.1,0.033,65.88,C
carrot,79.53,68.52,88.27,4.38,0.263,92.68,C
carrot,78.81,89.0,68.11,21.02,0.182,73.09,B
tomato,56.29,100.0,80.37,21.91,0.422,89.32,C
cucumber,77.51,88.37,72.86,25.08,0.155,70.73,A
tomato,74.08,82.68,55.42,44.37,0.262,58.27,C
banana,84.11,86.64,57.54,43.41,0.21,75.98,C
tomato,76.57,76.38,65.93,36.88,0.244,74.3,B
orange,90.28,83.14,88.56,16.67,0.057,76.8,A
carrot,100.0,85.08,48.57,47.15,0.039,65.43,C
carrot,99.01,69.43,63.23,38.04,0.029,68.81,C
orange,91.67,84.38,83.83,14.61,0.086,84.64,A
orange,89.59,88.66,76.71,18.44,0.108,82.54,A
carrot,80.9,100.0,67.62,34.91,0.244,84.3,B
orange,72.33,85.89,63.22,34.67,0.289,78.79,B
tomato,82.79,97.11,74.48,23.53,0.307,87.77,A
carrot,67.59,70.69,90.99,6.83,0.331,80.52,B
apple,88.97,71.84,58.79,42.55,0.14,66.98,C
cucumber,88.16,73.07,67.66,26.68,0.183,73.53,B
banana,87.07,96.97,100.0,0.0,0.092,95.4,A
tomato,61.84,78.4,56.53,45.48,0.384,69.87,C
carrot,85.62,89.24,70.03,42.7,0.156,70.32,A
orange,51.89,82.21,74.05,23.14,0.582,80.87,C
carrot,88.89,70.83,60.01,40.21,0.12,56.14,B
banana,78.21,79.42,62.99,33.78,0.209,71.66,B
carrot,87.07,94.97,71.29,25.97,0.151,86.18,A
tomato,89.86,93.76,96.67,14.0,0.058,95.28,A
tomato,78.17,80.82,65.61,25.47,0.223,69.38,B
carrot,66.09,68.8,79.75,21.16,0.368,85.21,C
carrot,82.16,87.82,58.76,33.52,0.258,68.67,C
apple,77.41,80.92,61.56,36.61,0.287,67.21,B
orange,57.09,93.31,83.88,12.4,0.35,84.87,C
apple,95.49,69.56,74.65,29.4,0.0,77.27,C
carrot,60.26,85.98,79.95,26.56,0.425,71.08,C
apple,80.07,79.66,83.64,21.09,0.23,80.58,B
banana,50.3,76.53,82.66,10.8,0.529,84.14,C
banana,35.0,66.66,100.0,0.0,0.551,89.51,C
carrot,78.2,95.26,80.43,22.32,0.236,91.33,A
tomato,92.57,63.04,83.15,23.7,0.134,70.96,C
orange,95.47,93.13,100.0,0.0,0.02,95.04,A
apple,64.65,48.85,69.04,33.17,0.329,68.62,C
apple,78.2,97.49,80.18,24.78,0.232,95.68,A
orange,85.44,86.4,71.39,31.04,0.257,77.54,A
carrot,84.29,97.09,94.24,5.83,0.038,98.25,A
orange,100.0,84.03,91.99,2.59,0.0,89.32,A
apple,77.5,76.1,77.35,39.25,0.267,81.98,B
apple,100.0,79.72,43.12,55.74,0.041,56.57,C
carrot,75.35,73.7,100.0,4.5,0.279,89.96,B
carrot,80.96,67.78,41.02,59.88,0.207,60.44,C
tomato,100.0,100.0,60.03,37.85,0.024,92.68,B
apple,94.79,77.35,61.87,42.86,0.0,68.42,B
orange,76.28,100.0,70.32,15.04,0.262,81.67,A
cucumber,76.7,78.72,88.65,2.16,0.207,87.1,B
tomato,68.79,62.69,86.7,20.04,0.31,64.89,C
apple,53.1,85.71,61.8,31.24,0.447,72.84,C
carrot,68.34,89.06,68.86,37.02,0.331,75.48,B
cucumber,86.64,71.61,49.64,52.1,0.116,48.76,C
tomato,69.96,71.19,100.0,0.0,0.228,91.14,B
cucumber,66.83,74.41,85.86,0.18,0.239,78.73,B
tomato,100.0,76.77,77.61,29.19,0.105,74.31,B
cucumber,100.0,63.73,92.44,1.45,0.005,76.87,C
cucumber,63.63,70.2,80.42,25.55,0.357,75.66,C
cucumber,63.43,90.88,89.11,26.51,0.347,87.7,C
apple,89.53,91.83,67.44,30.14,0.132,75.5,B
cucumber,79.34,93.95,66.33,22.62,0.111,73.84,B
tomato,58.3,80.14,56.98,38.81,0.378,66.36,C
cucumber,87.93,82.19,68.62,28.78,0.137,78.33,B
apple,64.39,82.44,43.49,57.78,0.394,61.57,C
orange,64.78,84.61,75.43,23.97,0.346,80.55,C
orange,90.72,98.53,75.96,28.93,0.058,91.08,A
banana,94.36,100.0,74.05,12.8,0.029,93.18,A
apple,86.3,84.99,92.14,10.77,0.198,93.16,A
carrot,83.38,92.86,71.09,25.31,0.252,83.06,A
apple,90.07,83.48,66.62,33.45,0.171,77.83,B
cucumber,74.77,100.0,72.58,16.62,0.347,89.7,B
orange,76.95,77.54,93.32,3.43,0.288,88.14,B
carrot,80.18,79.9,92.73,2.08,0.117,89.39,B
tomato,87.47,87.76,82.52,15.55,0.165,84.92,A
apple,73.32,100.0,48.24,54.76,0.183,73.58,C
tomato,71.5,56.98,82.22,15.5,0.18,73.8,C
orange,100.0,86.31,76.74,31.23,0.084,87.19,A
orange,63.88,84.42,83.03,6.11,0.385,95.09,C
apple,100.0,84.19,74.83,27.46,0.0,74.69,A
banana,96.99,98.47,60.14,45.67,0.026,81.0,B
orange,92.92,82.99,98.56,3.29,0.102,86.61,A
banana,100.0,87.64,87.41,2.94,0.0,93.71,A
tomato,49.29,94.46,67.3,41.17,0.503,81.9,C
tomato,95.68,71.23,60.11,38.71,0.085,59.02,B
tomato,90.36,74.76,69.72,19.13,0.062,72.21,B
banana,91.96,72.75,100.0,0.0,0.046,94.06,B
apple,69.72,80.14,97.65,11.15,0.262,88.68,B
cucumber,79.35,70.17,75.11,24.92,0.263,78.67,B
apple,74.79,89.97,66.64,36.89,0.248,73.46,B
carrot,63.65,99.36,73.5,36.34,0.338,87.89,C
orange,62.14,59.23,96.59,0.0,0.378,74.98,C
tomato,82.02,70.59,73.12,29.58,0.129,68.36,B
banana,56.57,76.93,77.9,19.7,0.421,77.32,C
apple,68.16,90.29,98.98,0.0,0.343,93.44,B
cucumber,100.0,88.1,47.63,55.1,0.062,66.76,C
orange,92.93,73.72,52.23,48.62,0.0,61.78,C
banana,49.35,66.65,59.49,40.13,0.488,70.06,C
cucumber,92.32,87.94,78.33,24.03,0.034,87.42,A
banana,90.53,96.23,79.37,19.57,0.115,73.5,A
cucumber,82.53,80.64,75.19,29.05,0.171,72.21,A
cucumber,79.01,83.38,78.59,27.65,0.156,81.86,A
tomato,97.35,61.18,78.87,17.61,0.008,65.51,C
tomato,100.0,66.83,57.29,34.9,0.086,59.74,C
cucumber,77.62,77.17,60.89,37.7,0.347,75.99,B
apple,87.71,72.02,47.58,58.54,0.181,65.03,C
cucumber,70.95,80.0,88.0,14.35,0.271,75.9,B
banana,94.19,67.63,86.22,15.77,0.096,81.28,C
cucumber,67.58,62.6,67.46,37.87,0.297,61.56,C
carrot,100.0,91.91,88.32,17.49,0.029,88.89,A
cucumber,75.54,76.87,100.0,3.34,0.221,90.76,B
tomato,100.0,74.07,84.02,22.38,0.019,79.51,B
banana,78.16,81.32,66.77,30.53,0.292,73.51,B
orange,70.26,95.2,86.81,16.55,0.285,93.87,B
banana,68.35,78.88,91.52,13.73,0.267,80.92,B
apple,100.0,59.01,80.45,11.29,0.0,67.91,C
banana,71.69,75.59,76.12,20.67,0.21,79.75,B
banana,90.65,63.51,80.78,23.27,0.042,72.19,C
tomato,76.26,100.0,100.0,0.0,0.362,95.42,A
orange,92.56,70.05,83.89,15.46,0.102,78.13,B
tomato,95.95,82.9,73.31,33.26,0.07,81.77,A
cucumber,62.32,75.19,66.07,38.65,0.426,69.85,C
orange,99.46,98.42,79.89,15.17,0.084,88.85,A
apple,72.91,71.32,52.5,51.3,0.232,77.21,C
carrot,61.71,66.91,84.16,25.01,0.386,78.4,C
tomato,67.84,69.12,45.68,55.02,0.209,50.79,C
apple,69.94,72.02,82.34,19.49,0.345,80.95,B
orange,77.97,85.64,84.18,16.67,0.2,83.25,A
carrot,65.74,87.06,74.5,21.53,0.31,74.73,B
cucumber,79.18,71.65,88.94,7.7,0.138,85.4,B
banana,69.94,77.09,76.66,30.2,0.302,70.88,B
cucumber,70.73,100.0,75.98,10.61,0.311,97.71,B
banana,100.0,100.0,59.68,45.79,0.0,80.96,C
cucumber,68.33,73.89,90.38,14.43,0.331,75.38,B
tomato,73.33,73.05,89.91,17.15,0.32,77.7,B
banana,51.5,99.06,69.58,25.92,0.567,90.65,C
orange,78.37,78.48,73.89,27.48,0.296,78.3,B
carrot,95.54,67.96,88.08,10.15,0.0,67.38,C
cucumber,62.73,88.37,77.82,23.29,0.47,76.75,C
tomato,82.57,73.16,76.45,13.95,0.245,71.4,B
carrot,100.0,81.61,92.45,7.23,0.0,84.11,A
carrot,82.77,72.59,74.0,22.34,0.287,72.85,B
orange,100.0,79.65,80.15,11.92,0.0,80.95,B
banana,81.33,98.6,86.25,23.51,0.184,100.0,A
cucumber,70.72,72.8,56.64,57.35,0.334,63.05,C
orange,88.32,100.0,51.23,47.17,0.094,65.75,C
carrot,93.9,78.76,87.83,26.32,0.043,81.19,B
carrot,92.81,75.2,65.9,40.44,0.091,60.33,B
orange,59.62,100.0,82.43,13.0,0.395,91.28,C
orange,57.63,71.91,80.37,19.03,0.452,69.99,C
cucumber,83.36,95.1,83.79,17.05,0.162,85.27,A
